dt_iso,temp,humidity,wind_speed,clouds_all,pressure,dew_point
2019-01-01 00:00:00 +0000 UTC,278.26,75,4.12,0,1024,274.2
2019-01-01 01:00:00 +0000 UTC,277.46,75,3.6,0,1024,273.43
2019-01-01 02:00:00 +0000 UTC,277.36,75,3.1,0,1023,273.33
2019-01-01 03:00:00 +0000 UTC,278.17,68,4.63,0,1024,272.81
2019-01-01 04:00:00 +0000 UTC,278.38,57,5.14,75,1023,270.86
2019-01-01 05:00:00 +0000 UTC,277.58,60,3.1,75,1023,270.81
2019-01-01 06:00:00 +0000 UTC,278.38,53,5.66,40,1024,270.0
2019-01-01 07:00:00 +0000 UTC,278.29,57,5.14,0,1023,270.79
2019-01-01 08:00:00 +0000 UTC,278.89,61,6.2,0,1023,272.1
2019-01-01 09:00:00 +0000 UTC,280.33,64,5.7,40,1023,273.98
2019-01-01 10:00:00 +0000 UTC,280.77,62,6.7,75,1022,273.96
2019-01-01 11:00:00 +0000 UTC,281.41,59,7.2,75,1021,273.88
2019-01-01 12:00:00 +0000 UTC,282.03,55,8.75,75,1020,273.49
2019-01-01 13:00:00 +0000 UTC,280.74,59,6.7,75,1020,273.25
2019-01-01 14:00:00 +0000 UTC,280.54,63,6.2,75,1020,273.97
2019-01-01 15:00:00 +0000 UTC,280.36,63,7.2,75,1020,273.8
2019-01-01 16:00:00 +0000 UTC,280.01,65,6.7,75,1019,273.9
2019-01-01 17:00:00 +0000 UTC,280.03,65,7.2,0,1019,273.91
2019-01-01 18:00:00 +0000 UTC,280.42,66,5.7,40,1018,274.5
2019-01-01 19:00:00 +0000 UTC,280.44,65,5.14,0,1018,274.3
2019-01-01 20:00:00 +0000 UTC,279.85,73,4.63,75,1018,275.36
2019-01-01 21:00:00 +0000 UTC,279.93,71,4.63,40,1017,275.05
2019-01-01 22:00:00 +0000 UTC,279.8,73,4.63,75,1016,275.31
2019-01-01 23:00:00 +0000 UTC,279.55,74,3.6,75,1016,275.26
2019-01-02 00:00:00 +0000 UTC,279.62,69,3.6,40,1016,274.35
2019-01-02 01:00:00 +0000 UTC,278.83,78,3.1,75,1015,275.3
2019-01-02 02:00:00 +0000 UTC,279.08,74,3.6,75,1014,274.81
2019-01-02 03:00:00 +0000 UTC,279.07,77,3.1,75,1013,275.35
2019-01-02 04:00:00 +0000 UTC,279.68,74,3.1,75,1013,275.39
2019-01-02 05:00:00 +0000 UTC,279.55,78,3.6,75,1013,276.0
2019-01-02 06:00:00 +0000 UTC,279.34,82,3.6,100,1013,276.5
2019-01-02 07:00:00 +0000 UTC,279.23,83,4.1,100,1013,276.56
2019-01-02 07:00:00 +0000 UTC,279.23,83,4.1,100,1013,276.56
2019-01-02 08:00:00 +0000 UTC,278.87,86,5.14,100,1013,276.71
2019-01-02 08:00:00 +0000 UTC,278.87,86,5.14,100,1013,276.71
