dt_iso,temp,humidity,wind_speed,clouds_all,pressure,dew_point
2022-12-31 23:00:00+00:00,282.1,92,0.45,100,998,280.87
2023-01-01 00:00:00+00:00,282.06,94,2.3,100,998,281.15
2023-01-01 01:00:00+00:00,282.45,96,3.3,100,997,281.85
2023-01-01 02:00:00+00:00,283.25,95,4.5,100,997,282.49
2023-01-01 03:00:00+00:00,283.06,96,13.4,100,997,282.45
2023-01-01 04:00:00+00:00,283.12,97,12.9,100,997,282.67
2023-01-01 05:00:00+00:00,283.4,94,5.1,100,998,282.48
2023-01-01 06:00:00+00:00,283.66,95,12.9,99,999,282.89
2023-01-01 07:00:00+00:00,283.72,92,12.4,100,999,282.48
2023-01-01 08:00:00+00:00,283.48,93,11.3,100,1001,282.4
2023-01-01 09:00:00+00:00,283.45,92,10.3,100,1002,282.21
2023-01-01 10:00:00+00:00,283.61,90,12.9,100,1002,282.04
2023-01-01 11:00:00+00:00,283.95,87,7.5,100,1002,281.88
2023-01-01 12:00:00+00:00,283.37,86,13.4,86,1004,281.14
2023-01-01 13:00:00+00:00,283.32,82,6.7,91,1004,280.39
2023-01-01 14:00:00+00:00,282.74,85,10.8,72,1006,280.35
2023-01-01 15:00:00+00:00,281.82,87,9.3,65,1007,279.78
2023-01-01 16:00:00+00:00,281.54,88,8.8,93,1009,279.67
2023-01-01 17:00:00+00:00,281.02,89,8.8,100,1010,279.32
2023-01-01 18:00:00+00:00,280.82,89,9.3,100,1009,279.12
2023-01-01 19:00:00+00:00,280.98,90,7.7,100,1011,279.44
2023-01-01 20:00:00+00:00,281.12,90,8.2,98,1011,279.58
2023-01-01 21:00:00+00:00,281.22,91,6.7,100,1011,279.84
2023-01-01 22:00:00+00:00,280.7,91,6.2,100,1012,279.33
2023-01-01 23:00:00+00:00,280.77,90,6.2,100,1011,279.24
2023-01-02 00:00:00+00:00,280.18,92,7.7,100,1012,278.97
2023-01-02 01:00:00+00:00,280.28,93,8.8,100,1011,279.23
2023-01-02 02:00:00+00:00,280.45,93,7.7,100,1011,279.39
2023-01-02 03:00:00+00:00,280.4,94,7.2,100,1010,279.5
2023-01-02 04:00:00+00:00,280.44,94,7.2,100,1010,279.54
2023-01-02 05:00:00+00:00,280.5,94,4.1,100,1009,279.6
2023-01-02 06:00:00+00:00,280.52,95,6.7,100,1008,279.77
2023-01-02 07:00:00+00:00,280.43,95,6.7,100,1007,279.68
2023-01-02 08:00:00+00:00,280.89,95,9.3,100,1006,280.14
2023-01-02 09:00:00+00:00,281.32,94,3.3,100,1005,280.41
2023-01-02 10:00:00+00:00,281.71,95,8.2,100,1005,280.96
2023-01-02 11:00:00+00:00,282.33,94,2.7,100,1003,281.42
2023-01-02 12:00:00+00:00,282.73,96,8.8,100,1004,282.12
2023-01-02 13:00:00+00:00,282.61,95,2.6,100,1002,281.85
2023-01-02 14:00:00+00:00,282.34,97,9.3,100,1004,281.89
2023-01-02 15:00:00+00:00,281.35,95,11.3,100,1006,280.6
2023-01-02 16:00:00+00:00,280.31,94,8.2,100,1008,279.41
2023-01-02 17:00:00+00:00,279.87,96,7.7,80,1008,279.28
2023-01-02 18:00:00+00:00,279.24,95,6.7,68,1010,278.5
2023-01-02 19:00:00+00:00,279.65,94,8.8,58,1009,278.76
2023-01-02 20:00:00+00:00,279.87,92,11.3,100,1010,278.66
2023-01-02 21:00:00+00:00,279.84,92,10.8,100,1011,278.63
2023-01-02 22:00:00+00:00,279.77,86,12.4,58,1012,277.6
2023-01-02 23:00:00+00:00,279.41,84,11.8,40,1012,276.91
2023-01-03 00:00:00+00:00,279.2,86,11.3,13,1013,277.04
2023-01-03 01:00:00+00:00,278.58,88,11.3,11,1014,276.75
2023-01-03 02:00:00+00:00,278.2,88,12.4,22,1014,276.38
2023-01-03 03:00:00+00:00,278.47,85,12.9,51,1015,276.16
2023-01-03 04:00:00+00:00,278.65,85,12.9,73,1015,276.33
2023-01-03 05:00:00+00:00,278.42,85,4.0,69,1015,276.11
2023-01-03 06:00:00+00:00,278.72,87,12.4,55,1016,276.73
2023-01-03 07:00:00+00:00,278.95,87,12.4,47,1017,276.96
2023-01-03 08:00:00+00:00,278.83,86,10.3,34,1018,276.67
2023-01-03 09:00:00+00:00,278.91,85,11.3,24,1018,276.59
2023-01-03 10:00:00+00:00,279.26,84,10.3,30,1019,276.76
2023-01-03 11:00:00+00:00,279.53,83,9.8,22,1020,276.86
2023-01-03 12:00:00+00:00,279.97,81,7.7,28,1020,276.94
2023-01-03 13:00:00+00:00,279.81,81,7.2,21,1020,276.79
2023-01-03 14:00:00+00:00,279.46,83,6.2,24,1021,276.79
2023-01-03 15:00:00+00:00,278.5,85,5.1,22,1021,276.19
2023-01-03 16:00:00+00:00,277.42,87,5.7,37,1022,275.45
2023-01-03 17:00:00+00:00,276.84,90,6.2,50,1022,275.35
2023-01-03 18:00:00+00:00,276.38,92,6.7,33,1022,275.21
2023-01-03 19:00:00+00:00,276.13,92,6.7,57,1022,274.96
2023-01-03 20:00:00+00:00,275.4,92,1.0,99,1021,274.24
2023-01-03 21:00:00+00:00,274.8,93,0.8,94,1021,273.79
2023-01-03 22:00:00+00:00,274.39,93,0.9,100,1020,273.39
2023-01-03 23:00:00+00:00,275.61,92,8.2,100,1020,274.44
2023-01-04 00:00:00+00:00,276.74,91,9.3,100,1019,275.41
2023-01-04 01:00:00+00:00,277.16,91,9.8,100,1017,275.83
2023-01-04 02:00:00+00:00,277.41,93,9.8,100,1017,276.38
2023-01-04 03:00:00+00:00,277.58,95,10.8,100,1015,276.85
2023-01-04 04:00:00+00:00,277.72,96,10.8,100,1013,277.14
2023-01-04 05:00:00+00:00,277.92,96,13.4,100,1011,277.34
2023-01-04 06:00:00+00:00,278.0,95,13.4,100,1009,277.27
2023-01-04 07:00:00+00:00,278.13,95,14.4,100,1007,277.4
2023-01-04 08:00:00+00:00,278.24,96,14.4,100,1006,277.66
2023-01-04 09:00:00+00:00,278.33,96,13.9,100,1004,277.75
2023-01-04 10:00:00+00:00,278.79,96,13.4,100,1002,278.2
2023-01-04 11:00:00+00:00,279.31,96,12.4,100,1000,278.72
2023-01-04 12:00:00+00:00,280.33,96,11.8,100,999,279.74
2023-01-04 13:00:00+00:00,280.89,96,10.8,100,998,280.29
2023-01-04 14:00:00+00:00,281.41,96,9.3,100,998,280.81
2023-01-04 15:00:00+00:00,281.48,96,8.2,100,997,280.88
2023-01-04 16:00:00+00:00,281.76,95,10.8,100,996,281.01
2023-01-04 17:00:00+00:00,281.81,96,10.3,100,996,281.21
2023-01-04 18:00:00+00:00,281.57,95,10.3,100,996,280.82
2023-01-04 19:00:00+00:00,281.67,95,9.8,97,996,280.92
2023-01-04 20:00:00+00:00,281.39,95,10.3,98,995,280.64
2023-01-04 21:00:00+00:00,281.44,94,10.8,100,995,280.53
2023-01-04 22:00:00+00:00,281.39,94,9.8,100,995,280.48
2023-01-04 23:00:00+00:00,281.06,95,10.8,100,995,280.31
2023-01-05 00:00:00+00:00,280.93,92,9.3,99,994,279.71
2023-01-05 01:00:00+00:00,280.97,89,10.8,100,994,279.27
2023-01-05 02:00:00+00:00,280.41,90,11.8,96,995,278.88
2023-01-05 03:00:00+00:00,280.11,92,13.4,100,994,278.9
2023-01-05 04:00:00+00:00,279.96,88,14.9,95,995,278.11
2023-01-05 05:00:00+00:00,278.46,83,15.4,88,996,275.81
2023-01-05 06:00:00+00:00,277.55,84,15.4,93,996,275.09
2023-01-05 07:00:00+00:00,276.98,88,14.4,98,998,275.18
2023-01-05 08:00:00+00:00,277.15,92,13.4,100,999,275.97
2023-01-05 09:00:00+00:00,277.42,92,14.4,100,1001,276.24
2023-01-05 10:00:00+00:00,277.47,93,13.4,100,1002,276.44
2023-01-05 11:00:00+00:00,277.54,93,10.3,100,1004,276.51
2023-01-05 12:00:00+00:00,276.69,95,10.3,100,1006,275.97
2023-01-05 13:00:00+00:00,276.69,93,7.7,100,1008,275.67
2023-01-05 14:00:00+00:00,276.77,90,6.2,100,1010,275.29
2023-01-05 15:00:00+00:00,276.67,92,6.2,100,1012,275.49
2023-01-05 16:00:00+00:00,276.23,93,4.6,100,1014,275.21
