dt_iso,humidity,wind_speed,clouds_all,pressure,dew_point,temp
2019-01-01 00:00:00 +0000 UTC,89,13.4,98,1012,278.48,280.17
2019-01-01 01:00:00 +0000 UTC,91,11.8,100,1012,278.64,280.0
2019-01-01 02:00:00 +0000 UTC,93,12.4,100,1009,279.1,280.15
2019-01-01 03:00:00 +0000 UTC,94,13.4,100,1008,279.08,279.98
2019-01-01 04:00:00 +0000 UTC,96,12.9,100,1006,279.33,279.92
2019-01-01 05:00:00 +0000 UTC,95,14.9,95,1005,279.71,280.46
2019-01-01 06:00:00 +0000 UTC,78,16.0,29,1004,276.46,280.02
2019-01-01 07:00:00 +0000 UTC,74,18.5,26,1004,275.59,279.89
2019-01-01 08:00:00 +0000 UTC,74,18.0,2,1003,275.43,279.73
2019-01-01 09:00:00 +0000 UTC,70,19.0,17,1002,274.59,279.66
2019-01-01 10:00:00 +0000 UTC,69,20.6,12,1002,274.55,279.83
2019-01-01 11:00:00 +0000 UTC,68,20.6,21,1001,274.32,279.8
2019-01-01 12:00:00 +0000 UTC,64,23.2,18,1000,273.51,279.83
2019-01-01 13:00:00 +0000 UTC,64,21.6,17,1000,273.07,279.35
2019-01-01 14:00:00 +0000 UTC,63,19.0,19,1000,272.54,278.95
2019-01-01 15:00:00 +0000 UTC,65,20.1,51,1000,272.71,278.7
2019-01-01 16:00:00 +0000 UTC,71,17.5,54,1000,273.56,278.38
2019-01-01 17:00:00 +0000 UTC,65,16.0,78,1001,273.09,279.15
2019-01-01 18:00:00 +0000 UTC,63,18.0,77,1002,273.25,279.78
2019-01-01 19:00:00 +0000 UTC,62,18.5,7,1003,272.85,279.55
2019-01-01 20:00:00 +0000 UTC,63,17.5,6,1003,272.59,279.01
2019-01-01 21:00:00 +0000 UTC,59,18.0,1,1005,271.68,278.86
2019-01-01 22:00:00 +0000 UTC,59,17.0,44,1006,271.55,278.71
2019-01-01 23:00:00 +0000 UTC,53,18.5,24,1007,270.1,278.51
2019-01-02 00:00:00 +0000 UTC,49,18.0,47,1008,269.05,278.36
2019-01-02 01:00:00 +0000 UTC,47,20.6,98,1010,268.29,278.03
2019-01-02 02:00:00 +0000 UTC,47,21.1,92,1012,267.96,277.62
2019-01-02 03:00:00 +0000 UTC,48,21.6,52,1013,267.77,277.09
2019-01-02 04:00:00 +0000 UTC,50,21.6,11,1014,267.76,276.5
2019-01-02 05:00:00 +0000 UTC,51,5.7,2,1015,267.27,275.63
2019-01-02 06:00:00 +0000 UTC,52,21.6,0,1018,267.5,275.63
2019-01-02 07:00:00 +0000 UTC,49,20.1,0,1020,266.35,275.07
2019-01-02 08:00:00 +0000 UTC,47,18.0,0,1021,265.67,274.83
2019-01-02 09:00:00 +0000 UTC,48,16.0,0,1022,265.89,274.8
2019-01-02 10:00:00 +0000 UTC,46,18.5,0,1023,265.7,275.17
2019-01-02 11:00:00 +0000 UTC,44,17.5,0,1024,265.23,275.22
2019-01-02 12:00:00 +0000 UTC,43,19.0,0,1024,265.17,275.47
2019-01-02 13:00:00 +0000 UTC,43,17.5,0,1025,264.9,275.14
2019-01-02 14:00:00 +0000 UTC,43,17.0,0,1026,264.59,274.76
2019-01-02 15:00:00 +0000 UTC,46,17.0,0,1026,265.08,274.42
2019-01-02 16:00:00 +0000 UTC,48,17.5,0,1027,265.52,274.36
2019-01-02 17:00:00 +0000 UTC,48,19.0,0,1028,265.43,274.25
2019-01-02 18:00:00 +0000 UTC,51,14.4,0,1028,266.29,274.44
2019-01-02 19:00:00 +0000 UTC,55,13.9,0,1028,266.88,274.1
2019-01-02 20:00:00 +0000 UTC,55,13.4,0,1028,266.83,274.04
2019-01-02 21:00:00 +0000 UTC,56,7.2,0,1028,266.49,273.39
2019-01-02 22:00:00 +0000 UTC,59,6.7,0,1028,267.16,273.47
2019-01-02 23:00:00 +0000 UTC,58,7.7,10,1028,267.4,273.99
2019-01-03 00:00:00 +0000 UTC,60,8.8,55,1028,267.85,274.05
2019-01-03 01:00:00 +0000 UTC,65,9.3,2,1028,268.72,273.97
2019-01-03 02:00:00 +0000 UTC,69,9.8,16,1028,270.33,275.04
2019-01-03 03:00:00 +0000 UTC,70,9.3,27,1028,271.14,275.79
2019-01-03 04:00:00 +0000 UTC,66,8.2,54,1028,270.59,275.97
2019-01-03 05:00:00 +0000 UTC,69,8.2,37,1028,270.89,275.7
2019-01-03 06:00:00 +0000 UTC,69,7.7,39,1028,270.98,275.8
2019-01-03 07:00:00 +0000 UTC,64,9.3,44,1030,270.11,275.83
2019-01-03 08:00:00 +0000 UTC,64,7.2,50,1031,269.65,275.29
2019-01-03 09:00:00 +0000 UTC,63,8.8,22,1030,269.4,275.21
2019-01-03 10:00:00 +0000 UTC,63,8.8,11,1031,269.73,275.6
2019-01-03 11:00:00 +0000 UTC,61,7.2,86,1031,269.57,275.87
2019-01-03 12:00:00 +0000 UTC,62,6.2,76,1031,269.97,276.11
2019-01-03 13:00:00 +0000 UTC,61,4.6,57,1031,269.43,275.7
2019-01-03 14:00:00 +0000 UTC,62,5.1,6,1032,269.09,275.07
2019-01-03 15:00:00 +0000 UTC,67,4.1,77,1032,269.33,274.27
2019-01-03 16:00:00 +0000 UTC,70,3.6,55,1031,269.55,273.93
2019-01-03 17:00:00 +0000 UTC,72,2.6,97,1032,269.61,273.6
2019-01-03 18:00:00 +0000 UTC,72,2.1,100,1032,269.72,273.73
2019-01-03 19:00:00 +0000 UTC,73,3.6,100,1031,269.97,273.84
2019-01-03 20:00:00 +0000 UTC,73,4.1,100,1031,270.02,273.89
2019-01-03 21:00:00 +0000 UTC,78,5.1,100,1030,270.77,273.85
2019-01-03 22:00:00 +0000 UTC,80,5.7,100,1030,271.07,273.85
2019-01-03 23:00:00 +0000 UTC,84,7.2,100,1028,272.07,274.32
